Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,knn,knn_2,Price
ION6,H사,y1,AWD,w7,No,Nearly New,68.479,48556,37.74,37.74,37.74
ID4,V사,y0,AWD,w7,No,Brand New,90.0,9096,34.75,34.75,33.85
eT,A사,y0,AWD,w8,No,Brand New,95.0,5419,59.44,59.44,59.44
EV6,K사,y0,FWD,w9,No,Brand New,90.0,1414,40.54,40.54,40.55
ION5,H사,y0,AWD,w10,No,Brand New,90.0,8733,35.95,35.95,35.95
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,9325,99.99,99.99,100.0
KNE,H사,y0,FWD,w9,No,Brand New,90.0,5843,23.86,23.86,23.87
Tay,P사,y1,AWD,w1,No,Nearly New,70.071,31479,120.42,120.42,120.42
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,8286,100.77,100.77,100.12
KNE,H사,y1,FWD,w7,No,Nearly New,68.488,28896,28.1,28.1,28.1
Niro,K사,y0,FWD,w2,No,Pre-Owned,46.169,126391,26.35,26.35,26.35
ION6,H사,y0,AWD,w10,No,Brand New,90.0,8998,38.49,38.49,39.0
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,6690,99.99,99.99,100.0
Soul,K사,y0,FWD,w5,No,Nearly New,56.0,17670,22.46,22.46,22.62
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,1797,59.96,59.96,59.96
IONIQ,H사,y0,FWD,w3,No,Nearly New,52.26,34409,26.94,26.94,26.95
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,13454,22.94,22.94,23.18
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,2370,59.99,59.99,60.0
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,32634,41.75,41.75,41.76
Niro,K사,y2,AWD,w8,No,Nearly New,58.982,24553,27.66,27.66,27.67
Tay,P사,y1,AWD,w1,No,Nearly New,70.071,13270,120.45,120.45,120.46
Soul,K사,y0,FWD,w9,No,Brand New,90.0,9422,20.17,20.17,20.17
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,142555,39.9,39.9,39.91
ID4,V사,y0,AWD,w7,No,Brand New,90.0,3410,33.74,33.74,33.74
MY,T사,y0,AWD,w7,No,Brand New,90.0,9700,64.16,64.16,64.17
eT,A사,y0,AWD,w7,No,Brand New,91.2,3485,66.32,66.32,66.33
Niro,K사,y0,AWD,w3,No,Pre-Owned,48.093,190717,27.83,27.83,27.83
RSeTGT,A사,y0,AWD,w1,No,Pre-Owned,78.227,178069,97.16,97.16,97.55
EV6,K사,y0,FWD,w10,No,Brand New,90.0,3198,47.4,47.4,47.41
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,17761,159.01,159.01,159.01
ION6,H사,y1,AWD,w7,No,Nearly New,68.479,31213,37.99,37.99,38.0
ION5,H사,y0,AWD,w6,Yes,Nearly New,65.739,21650,34.73,34.73,34.92
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,7171,100.01,100.01,100.01
EV6,K사,y0,AWD,w10,No,Brand New,90.0,4772,48.96,48.96,48.97
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,69482,28.62,28.62,28.63
Niro,K사,y0,FWD,w10,Yes,Brand New,90.0,3333,21.82,21.82,21.82
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,2427,100.04,100.04,100.0
KNE,H사,y0,FWD,w6,No,Nearly New,68.488,17855,27.59,27.59,28.25
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,120356,128.41,125.0,128.42
M3,T사,y0,RWD,w8,No,Brand New,90.0,1670,54.84,54.84,54.85
ION5,H사,y2,AWD,w8,No,Nearly New,71.332,16547,34.25,34.25,34.26
ID4,V사,y0,AWD,w7,No,Brand New,90.0,5708,33.21,33.21,33.44
MX,T사,y0,AWD,w8,No,Brand New,99.8,5086,72.01,72.01,72.01
Q4eT,A사,y0,AWD,w3,No,Nearly New,66.861,29437,58.82,58.82,59.0
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,64.683,196206,151.1,151.1,151.11
eT,A사,y0,AWD,w4,No,Nearly New,80.688,22874,72.88,72.88,72.89
ID4,V사,y2,AWD,w6,No,Nearly New,70.963,22966,35.95,35.95,35.95
i5,B사,y0,RWD,w4,No,Nearly New,68.967,24979,63.87,63.87,63.88
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,2379,99.99,99.99,100.0
ION5,H사,y0,AWD,w10,No,Brand New,90.0,4441,35.76,35.76,35.77
Q4eT,A사,y0,AWD,w7,Yes,Brand New,90.0,5162,59.96,59.96,59.96
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,396,99.99,99.99,100.0
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,2328,130.05,121.0,130.06
MY,T사,y0,AWD,w7,No,Brand New,90.0,883,64.04,64.04,64.05
i3,B사,y0,RWD,w3,No,Nearly New,56.0,14084,23.98,23.98,23.98
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,2197,59.87,59.87,59.5
MY,T사,y0,AWD,w2,No,Pre-Owned,58.707,112106,76.81,76.81,76.82
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,59494,127.87,125.0,127.87
KNE,H사,y0,FWD,w9,No,Brand New,90.0,1719,25.1,25.1,25.11
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,19934,40.25,40.25,40.25
eT,A사,y0,AWD,w7,No,Brand New,91.2,7732,64.65,64.65,64.65
ID4,V사,y0,AWD,w8,No,Brand New,90.0,2802,40.06,40.06,38.97
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,4392,100.04,100.04,100.05
MX,T사,y0,AWD,w7,No,Brand New,96.0,6403,77.13,77.13,77.13
eT,A사,y0,AWD,w0,No,Pre-Owned,65.791,76328,69.87,69.87,69.88
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,67281,40.61,40.61,39.43
Tay,P사,y0,AWD,w2,No,Nearly New,67.268,21521,120.08,120.08,120.09
ID4,V사,y1,AWD,w5,No,Nearly New,68.125,27944,40.92,40.92,40.19
KNE,H사,y0,FWD,w10,No,Brand New,90.0,8084,21.77,21.77,21.78
KNE,H사,y0,FWD,w5,Yes,Nearly New,68.488,31844,28.45,28.45,28.45
MS,T사,y0,AWD,w7,No,Brand New,96.0,7051,69.05,69.05,69.05
MX,T사,y0,AWD,w3,No,Nearly New,81.537,22088,92.7,92.7,92.97
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,178703,126.11,126.11,127.75
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,125357,39.41,39.41,39.41
i5,B사,y0,AWD,w0,No,Pre-Owned,56.234,93561,61.13,61.13,61.13
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,70.185,124950,155.94,155.94,155.95
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,7703,100.17,100.17,100.18
Tay,P사,y0,AWD,w2,No,Brand New,90.0,3628,95.22,103.0,95.23
iX,B사,y0,RWD,w7,No,Brand New,90.0,2839,79.4,79.4,79.4
i5,B사,y2,RWD,w6,No,Nearly New,74.834,24363,63.21,63.21,63.21
EV6,K사,y0,AWD,w9,No,Brand New,90.0,3454,40.66,40.66,40.66
ION5,H사,y0,AWD,w10,No,Brand New,90.0,8197,35.99,35.99,36.0
i5,B사,y2,RWD,w6,Yes,Nearly New,74.834,26974,63.65,63.65,64.13
MS,T사,y1,AWD,w5,No,Nearly New,88.474,25302,84.1,84.1,84.1
MY,T사,y0,AWD,w8,No,Brand New,90.0,4360,74.49,74.49,74.49
M3,T사,y0,RWD,w3,No,Nearly New,61.153,27079,53.94,53.94,53.94
TayGTS,P사,y2,AWD,w0,No,Nearly New,86.077,41477,159.68,159.68,159.69
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,59.154,128390,55.25,55.25,55.25
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,1463,160.94,160.94,160.94
TayCT,P사,y1,AWD,w1,No,Nearly New,76.093,12432,130.75,130.75,130.76
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,8480,59.92,59.92,59.93
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,5673,100.32,100.32,100.33
Niro,K사,y0,AWD,w9,No,Brand New,90.0,3175,25.13,25.13,25.14
iX,B사,y0,AWD,w8,No,Brand New,90.0,3482,80.97,80.97,80.97
ION5,H사,y0,AWD,w9,No,Brand New,90.0,3105,35.07,35.07,35.08
M3,T사,y0,RWD,w3,No,Nearly New,61.153,35784,54.0,54.0,54.0
M3,T사,y1,RWD,w5,No,Nearly New,66.355,19366,53.5,53.5,53.66
Soul,K사,y0,FWD,w10,No,Brand New,90.0,3069,18.16,18.16,18.17
eT,A사,y1,AWD,w5,No,Nearly New,84.05,10038,74.21,74.21,74.21
M3,T사,y0,RWD,w8,No,Brand New,90.0,8656,54.99,54.99,55.0
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,108152,94.7,94.7,94.71
MS,T사,y0,AWD,w0,No,Pre-Owned,69.253,152015,78.63,78.63,78.64
KNE,H사,y0,FWD,w10,No,Brand New,90.0,6770,21.79,21.79,20.62
ID4,V사,y0,AWD,w7,No,Brand New,90.0,2019,34.66,34.66,34.66
i5,B사,y0,RWD,w3,No,Nearly New,66.208,37497,64.44,64.44,64.45
ID4,V사,y0,AWD,w8,No,Brand New,90.0,9992,38.97,38.97,38.97
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,64.683,149017,151.06,151.06,151.06
Soul,K사,y1,AWD,w7,No,Nearly New,56.623,39496,22.0,22.0,22.0
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,42757,40.63,40.63,40.64
EV6,K사,y0,AWD,w10,No,Brand New,90.0,2334,47.74,47.74,47.74
eT,A사,y0,AWD,w3,No,Nearly New,77.46,46576,73.12,73.12,73.12
M3,T사,y0,RWD,w7,No,Brand New,90.0,7117,47.71,47.71,47.72
Q4eT,A사,y0,AWD,w4,No,Nearly New,69.646,27512,59.0,59.0,59.0
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,9161,160.73,160.73,160.73
iX,B사,y0,RWD,w7,Yes,Brand New,90.0,8265,79.91,79.91,80.58
EV6,K사,y0,AWD,w9,No,Brand New,90.0,9413,40.92,40.92,40.93
IONIQ,H사,y0,FWD,w1,No,Pre-Owned,63.19,66572,26.1,26.1,26.1
ID4,V사,y0,AWD,w8,No,Brand New,90.0,8979,39.57,39.57,39.57
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,3149,160.51,160.51,160.0
Soul,K사,y0,FWD,w2,No,Pre-Owned,46.169,96471,22.73,22.73,22.73
Soul,K사,y0,FWD,w4,No,Pre-Owned,50.096,53103,23.26,23.26,23.26
Tay,P사,y2,AWD,w0,No,Nearly New,72.991,10377,121.43,121.43,121.44
Tay,P사,y0,AWD,w2,Yes,Brand New,90.0,2329,95.56,103.0,95.56
ID4,V사,y0,AWD,w7,No,Brand New,90.0,5036,33.84,33.84,33.85
Soul,K사,y0,FWD,w10,No,Brand New,90.0,8625,16.68,16.68,16.68
EV6,K사,y0,FWD,w9,No,Brand New,90.0,7490,40.31,40.31,40.31
Niro,K사,y1,FWD,w7,No,Nearly New,56.623,37742,27.3,27.3,27.31
KNE,H사,y0,FWD,w9,No,Brand New,90.0,3741,24.63,24.63,25.3
EV6,K사,y0,FWD,w10,No,Brand New,90.0,5387,47.46,47.46,47.46
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,3791,130.8,121.0,130.81
ION6,H사,y0,AWD,w9,No,Brand New,90.0,6260,37.98,37.98,37.98
EV6,K사,y0,FWD,w10,No,Brand New,90.0,1604,47.81,47.81,47.82
MY,T사,y2,AWD,w6,No,Nearly New,69.12,31627,69.05,69.05,69.05
i3,B사,y0,RWD,w3,No,Nearly New,56.0,45320,23.26,23.26,23.26
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,90760,93.99,93.99,94.0
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,2030,120.7,121.0,120.71
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,157102,22.27,22.27,22.27
ID4,V사,y0,AWD,w8,No,Brand New,90.0,3583,38.94,38.94,38.94
i3,B사,y0,AWD,w0,No,Pre-Owned,46.0,66465,22.74,22.74,22.75
Soul,K사,y1,FWD,w7,No,Nearly New,56.623,38893,23.17,23.17,23.17
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,7692,125.58,125.58,120.02
RSeTGT,A사,y0,AWD,w2,No,Pre-Owned,78.227,98597,97.62,97.62,97.62
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,55596,94.11,94.11,94.12
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,7024,59.95,59.95,59.95
i5,B사,y0,RWD,w1,No,Pre-Owned,61.018,133817,62.72,62.72,62.72
KNE,H사,y0,FWD,w10,No,Brand New,90.0,9254,21.89,21.89,21.16
eT,A사,y2,AWD,w6,No,Nearly New,87.552,44171,74.23,74.23,74.24
i5,B사,y0,AWD,w0,No,Pre-Owned,58.577,190133,60.9,60.9,60.86
MX,T사,y0,AWD,w8,No,Brand New,99.8,2385,72.13,72.13,72.13
eT,A사,y0,AWD,w4,No,Nearly New,80.688,33992,73.27,73.27,73.27
eT,A사,y0,AWD,w1,No,Pre-Owned,71.388,50968,72.35,72.35,72.36
MS,T사,y0,AWD,w3,No,Nearly New,81.537,32631,82.61,82.61,82.61
Tay,P사,y0,AWD,w2,No,Brand New,90.0,8050,103.76,95.0,103.77
ID4,V사,y0,AWD,w7,No,Brand New,90.0,4284,34.52,34.52,34.52
MX,T사,y0,AWD,w8,No,Brand New,99.8,5479,71.49,71.49,71.49
i5,B사,y0,AWD,w1,No,Pre-Owned,61.018,104960,62.69,62.69,62.7
ID4,V사,y0,AWD,w7,No,Brand New,90.0,1704,34.78,34.78,34.79
MX,T사,y0,AWD,w8,No,Brand New,99.8,6693,71.8,71.8,71.81
KNE,H사,y0,FWD,w1,No,Pre-Owned,68.488,102599,26.51,26.51,26.51
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,55837,94.68,94.68,94.68
Soul,K사,y0,AWD,w3,No,Pre-Owned,48.093,182562,22.84,22.84,23.14
Tay,P사,y0,AWD,w2,No,Pre-Owned,61.994,142138,118.87,118.87,118.87
ION6,H사,y0,AWD,w3,No,Pre-Owned,58.162,103100,37.01,37.01,37.02
MY,T사,y0,AWD,w0,No,Pre-Owned,54.104,101224,73.98,73.98,73.99
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,110041,124.46,125.0,124.47
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,61402,28.06,28.06,27.78
iX,B사,y0,RWD,w7,No,Brand New,90.0,9005,79.98,79.98,80.12
iX,B사,y0,RWD,w7,No,Brand New,90.0,584,80.46,80.46,80.47
TayGTS,P사,y1,AWD,w1,No,Nearly New,82.634,40646,159.25,159.25,159.26
EV6,K사,y0,FWD,w9,No,Brand New,90.0,2293,40.54,40.54,40.54
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,135175,129.0,125.0,129.0
TayCT,P사,y1,AWD,w1,No,Nearly New,76.093,32013,131.36,131.36,131.56
EV6,K사,y0,AWD,w10,No,Brand New,90.0,6821,47.06,47.06,47.07
MY,T사,y0,AWD,w7,No,Brand New,90.0,3707,63.93,63.93,63.93
KNE,H사,y0,FWD,w5,No,Nearly New,68.488,38899,27.86,27.86,27.86
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,9952,120.27,121.0,120.28
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,105173,37.99,37.99,38.0
Niro,K사,y1,FWD,w7,No,Nearly New,56.623,24054,27.16,27.16,27.16
Soul,K사,y0,AWD,w2,No,Pre-Owned,46.169,170788,23.35,23.35,23.36
i3,B사,y0,AWD,w7,No,Brand New,90.0,6451,24.83,24.83,24.99
M3,T사,y1,RWD,w5,No,Nearly New,66.355,13535,53.55,53.55,53.93
Soul,K사,y0,FWD,w10,No,Brand New,90.0,5320,17.49,17.49,16.73
MY,T사,y0,AWD,w3,No,Nearly New,61.153,27474,78.39,78.39,78.39
Niro,K사,y0,FWD,w2,No,Pre-Owned,46.169,115219,27.54,27.54,27.55
Q4eT,A사,y0,AWD,w3,No,Nearly New,66.861,44798,58.9,58.9,58.9
M3,T사,y0,RWD,w8,No,Brand New,90.0,9227,54.97,54.97,54.99
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,144726,27.44,27.44,27.45
Niro,K사,y0,FWD,w2,No,Pre-Owned,46.169,68642,27.05,27.05,27.05
MX,T사,y0,AWD,w0,Yes,Pre-Owned,69.253,59403,87.76,87.76,88.39
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,543,59.91,59.91,59.92
Niro,K사,y0,AWD,w4,No,Pre-Owned,50.096,89510,28.96,28.96,28.97
ION6,H사,y0,AWD,w9,No,Brand New,90.0,8913,39.0,39.0,39.0
Tay,P사,y0,AWD,w2,No,Pre-Owned,59.515,115796,118.06,118.06,118.06
EV6,K사,y0,FWD,w10,No,Brand New,90.0,668,48.59,48.59,48.6
ID4,V사,y0,AWD,w7,No,Brand New,90.0,9193,34.79,34.79,34.8
iX,B사,y0,AWD,w7,No,Brand New,90.0,9362,79.27,79.27,79.28
ION6,H사,y0,AWD,w10,No,Brand New,90.0,5426,38.97,38.97,38.98
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,106167,37.99,37.99,38.0
Tay,P사,y0,AWD,w2,No,Brand New,90.0,5492,102.77,95.0,103.0
ION5,H사,y0,AWD,w10,No,Brand New,90.0,2996,35.96,35.96,35.97
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,5655,59.91,59.91,59.91
eT,A사,y0,AWD,w3,No,Nearly New,77.46,12007,73.91,73.91,73.71
eT,A사,y0,AWD,w8,No,Brand New,95.0,2152,60.52,60.52,60.52
MY,T사,y0,AWD,w8,No,Brand New,90.0,6043,74.16,74.16,74.16
MS,T사,y0,AWD,w7,No,Brand New,96.0,9946,68.83,68.83,68.84
ION5,H사,y0,AWD,w9,No,Brand New,90.0,8081,35.29,35.29,35.29
EV6,K사,y0,FWD,w9,No,Brand New,90.0,3787,39.91,39.91,39.92
ION6,H사,y2,AWD,w8,No,Nearly New,71.332,12014,37.82,37.82,37.83
i3,B사,y0,RWD,w2,No,Pre-Owned,46.0,120152,23.45,23.45,23.45
TayCT,P사,y0,AWD,w2,No,Nearly New,76.093,49313,130.6,130.6,130.75
IONIQ,H사,y0,FWD,w1,No,Nearly New,58.5,21649,12.09,12.09,12.09
KNE,H사,y0,FWD,w10,No,Brand New,90.0,3949,21.95,21.95,21.95
Niro,K사,y0,AWD,w4,No,Pre-Owned,50.096,153918,28.43,28.43,28.44
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,16700,41.5,41.5,41.5
MS,T사,y0,AWD,w3,No,Nearly New,81.537,12930,82.54,82.54,82.55
i3,B사,y0,RWD,w0,Yes,Pre-Owned,46.0,87214,22.02,22.02,22.02
TayCT,P사,y1,AWD,w1,No,Nearly New,76.093,44450,130.97,130.97,130.98
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,1667,125.8,125.8,129.2
MS,T사,y0,AWD,w0,No,Pre-Owned,69.253,181877,78.22,78.22,78.23
Q4eT,A사,y0,AWD,w3,No,Nearly New,66.861,34738,57.98,57.98,57.99
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,30373,22.62,22.62,22.62
KNE,H사,y0,FWD,w2,No,Pre-Owned,68.488,74950,27.55,27.55,27.77
ION5,H사,y0,AWD,w9,No,Brand New,90.0,4041,35.95,35.95,35.95
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,27248,53.27,53.27,52.47
i5,B사,y0,RWD,w0,No,Pre-Owned,56.234,117277,60.83,60.83,60.83
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,14841,52.26,52.26,52.27
eT,A사,y0,AWD,w0,No,Pre-Owned,68.532,111719,69.43,69.43,69.44
iX,B사,y0,RWD,w8,No,Brand New,90.0,1304,80.03,80.03,80.04
i5,B사,y0,RWD,w1,No,Pre-Owned,61.018,158866,63.44,63.44,63.44
ION6,H사,y0,AWD,w9,No,Brand New,90.0,8494,38.92,38.92,38.93
ION6,H사,y0,AWD,w2,No,Pre-Owned,55.836,169852,37.22,37.22,37.22
ION6,H사,y0,AWD,w1,No,Pre-Owned,53.602,183018,37.2,37.2,37.21
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,1893,59.5,59.5,59.51
i3,B사,y0,AWD,w4,No,Nearly New,56.0,30304,23.86,23.86,23.31
MX,T사,y0,AWD,w4,No,Nearly New,96.0,34099,94.29,94.29,94.3
i5,B사,y1,RWD,w5,No,Nearly New,71.841,27724,60.5,60.5,60.22
Niro,K사,y2,FWD,w8,No,Nearly New,58.982,13809,28.62,28.62,28.63
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,1762,59.99,59.99,60.0
Niro,K사,y0,FWD,w3,No,Pre-Owned,48.093,57029,28.54,28.54,28.54
ION5,H사,y0,AWD,w5,No,Nearly New,63.11,32169,35.0,35.0,35.0
iX,B사,y0,AWD,w7,No,Brand New,90.0,7523,79.26,79.26,79.26
iX,B사,y0,RWD,w8,No,Brand New,90.0,4793,79.44,79.44,79.44
ION5,H사,y2,AWD,w8,No,Nearly New,71.332,45754,34.96,34.96,34.97
MY,T사,y0,AWD,w7,No,Brand New,90.0,1525,63.45,63.45,64.05
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,7980,159.99,159.99,160.0
iX,B사,y0,RWD,w7,No,Brand New,90.0,5644,79.62,79.62,78.92
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,6096,59.65,59.65,60.0
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,28208,40.62,40.62,40.63
KNE,H사,y1,FWD,w7,Yes,Nearly New,68.488,36145,28.34,28.34,28.34
KNE,H사,y0,FWD,w4,No,Pre-Owned,68.488,120362,27.75,27.75,27.75
M3,T사,y0,RWD,w3,No,Nearly New,61.153,30781,54.0,54.0,54.0
MY,T사,y0,AWD,w7,No,Brand New,90.0,2799,64.0,64.0,64.01
ID4,V사,y0,AWD,w7,No,Brand New,90.0,2024,33.54,33.54,33.55
ION5,H사,y0,AWD,w4,No,Pre-Owned,60.585,135277,33.83,33.83,33.83
Niro,K사,y0,FWD,w10,No,Brand New,90.0,8703,22.16,22.16,22.17
MS,T사,y0,AWD,w8,No,Brand New,99.8,5159,64.44,64.44,64.45
MY,T사,y0,AWD,w7,No,Brand New,90.0,7245,64.17,64.17,64.18
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,6281,59.21,59.21,59.22
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,1171,160.4,160.4,160.62
IONIQ,H사,y0,FWD,w3,No,Nearly New,64.42,44255,19.0,19.0,19.0
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,6767,120.17,121.0,120.18
ION5,H사,y0,AWD,w4,No,Pre-Owned,60.585,54765,34.84,34.84,35.0
TayCT,P사,y0,AWD,w2,No,Nearly New,76.093,12574,130.27,130.27,130.28
MS,T사,y0,AWD,w0,No,Pre-Owned,69.253,124893,77.92,77.92,77.93
MX,T사,y0,AWD,w2,No,Pre-Owned,78.276,176919,91.04,91.04,90.95
ION5,H사,y0,AWD,w9,No,Brand New,90.0,434,35.5,35.5,35.51
Tay,P사,y1,AWD,w1,No,Nearly New,70.071,46519,120.68,120.68,120.62
MS,T사,y0,AWD,w8,No,Brand New,99.8,1876,64.19,64.19,64.2
Niro,K사,y1,FWD,w7,No,Nearly New,56.623,10860,28.62,28.62,28.63
ION5,H사,y0,AWD,w10,No,Brand New,90.0,1012,35.87,35.87,34.99
ION5,H사,y0,AWD,w10,No,Brand New,90.0,5684,35.45,35.45,35.45
Niro,K사,y0,AWD,w1,Yes,Pre-Owned,46.0,188732,26.24,26.24,26.25
KNE,H사,y0,FWD,w9,No,Brand New,90.0,4976,23.78,23.78,23.78
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,178884,28.67,28.67,28.67
IONIQ,H사,y1,FWD,w1,No,Pre-Owned,76.74,55828,15.91,15.91,12.9
ID4,V사,y0,AWD,w7,No,Brand New,90.0,9303,34.24,34.24,34.25
i3,B사,y0,AWD,w2,No,Pre-Owned,46.0,179365,23.43,23.43,23.44
iX,B사,y0,AWD,w7,No,Brand New,90.0,2751,79.45,79.45,79.46
Soul,K사,y0,FWD,w3,Yes,Pre-Owned,48.093,100855,23.52,23.52,22.25
ION6,H사,y0,AWD,w9,No,Brand New,90.0,2734,38.92,38.92,38.92
M3,T사,y0,RWD,w7,No,Brand New,90.0,2371,46.28,46.28,46.28
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,106074,34.2,34.2,34.21
EV6,K사,y0,FWD,w10,No,Brand New,90.0,971,48.58,48.58,48.58
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,129049,94.7,94.7,94.08
eT,A사,y0,AWD,w7,No,Brand New,91.2,306,65.57,65.57,65.57
Niro,K사,y2,FWD,w8,No,Nearly New,58.982,15504,28.1,28.1,28.1
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,2780,59.45,59.45,59.45
M3,T사,y0,RWD,w8,No,Brand New,90.0,1319,54.94,54.94,54.95
eT,A사,y1,AWD,w5,No,Nearly New,84.05,36640,74.4,74.4,74.4
EV6,K사,y0,FWD,w10,No,Brand New,90.0,3116,47.83,47.83,47.16
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,8371,100.1,100.1,100.0
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,403,99.99,99.99,100.0
i3,B사,y2,AWD,w6,No,Nearly New,56.0,25536,23.2,23.2,23.21
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,59602,22.52,22.52,22.52
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,109799,27.07,27.07,27.44
ION6,H사,y1,AWD,w7,No,Nearly New,68.479,15681,37.67,37.67,37.67
RSeTGT,A사,y0,AWD,w2,No,Pre-Owned,78.227,178465,97.08,97.08,97.08
M3,T사,y0,RWD,w8,No,Brand New,90.0,2906,54.82,54.82,54.83
Soul,K사,y0,FWD,w1,No,Pre-Owned,46.0,54770,23.14,23.14,23.14
ION6,H사,y0,AWD,w6,No,Nearly New,65.739,13593,37.99,37.99,38.0
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,28215,159.55,159.55,159.55
ION5,H사,y1,AWD,w7,No,Nearly New,68.479,37343,35.0,35.0,35.0
EV6,K사,y0,FWD,w9,No,Brand New,90.0,3569,40.77,40.77,40.77
Soul,K사,y0,FWD,w2,No,Pre-Owned,46.169,131035,22.54,22.54,21.53
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,114912,22.14,22.14,21.99
ID4,V사,y0,AWD,w8,No,Brand New,90.0,1671,39.03,39.03,39.04
MY,T사,y0,AWD,w8,No,Brand New,90.0,3641,74.23,74.23,74.24
iX,B사,y0,RWD,w7,No,Brand New,90.0,1031,79.73,79.73,79.73
Soul,K사,y0,FWD,w9,No,Brand New,90.0,2902,21.04,21.04,21.05
Niro,K사,y0,AWD,w4,No,Pre-Owned,50.096,198148,27.86,27.86,27.87
KNE,H사,y0,FWD,w1,No,Pre-Owned,68.488,114124,27.05,27.05,27.05
TayGTS,P사,y0,AWD,w2,Yes,Brand New,93.4,5737,160.06,160.06,160.06
iX,B사,y0,RWD,w8,No,Brand New,90.0,9357,80.05,80.05,80.05
ION6,H사,y0,AWD,w10,No,Brand New,90.0,1632,39.0,39.0,39.0
